Zip Code,State,City
76022,TX,BEDFORD
61420,IL,BLANDINSVILLE
49752,MI,KINROSS
52036,IA,DELAWARE
78942,TX,GIDDINGS
13454,NY,SALISBURY CENTER
73072,OK,NORMAN
63545,MO,GREEN CITY
99403,WA,CLARKSTON
72432,AR,HARRISBURG
88232,NM,HAGERMAN
37313,TN,COALMONT
44140,OH,BAY VILLAGE
83703,ID,BOISE
85354,AZ,TONOPAH
42452,KY,ROBARDS
48640,MI,MIDLAND
24014,VA,ROANOKE
21074,MD,GREENMOUNT
52566,IA,KIRKVILLE
56556,MN,MCINTOSH
36915,AL,NEEDHAM
31904,GA,COLUMBUS
83443,ID,RIRIE
37914,TN,KNOXVILLE
56117,MN,BIGELOW
89101,NV,LAS VEGAS
05739,VT,DANBY
18360,PA,STROUDSBURG
70526,LA,CROWLEY
77539,TX,SAN LEON
46721,IN,BUTLER
28209,NC,CHARLOTTE
99668,AK,SLEETMUTE
12458,NY,NAPANOCH
90010,CA,LOS ANGELES
99729,AK,CANTWELL
64111,MO,KANSAS CITY
91737,CA,ALTA LOMA
66610,KS,TOPEKA
63537,MO,EDINA
12592,NY,WASSAIC
02763,MA,NORTH ATTLEBORO
46953,IN,MARION
63382,MO,VANDALIA
45773,OH,RENO
51453,IA,LOHRVILLE
23226,VA,RICHMOND
87575,NM,TIERRA AMARILLA
12411,NY,BLOOMINGTON
10993,NY,WEST HAVERSTRAW
20336,DC,WASHINGTON
33527,FL,DOVER
95133,CA,SAN JOSE
06242,CT,EASTFORD
73057,OK,MAYSVILLE
93621,CA,DUNLAP
04096,ME,YARMOUTH
14006,NY,ANGOLA
38259,TN,TRIMBLE
12189,NY,WATERVLIET
71859,AR,SARATOGA
46635,IN,SOUTH BEND
52302,IA,MARION
33809,FL,LAKELAND
12960,NY,MORIAH
23223,VA,RICHMOND
24201,VA,BRISTOL
80631,CO,GARDEN CITY
24185,VA,WOOLWINE
74066,OK,SAPULPA
71038,LA,HAYNESVILLE
49684,MI,TRAVERSE CITY
92806,CA,ANAHEIM
80304,CO,BOULDER
50471,IA,RUDD
52223,IA,DELHI
04772,ME,SAINT AGATHA
19374,PA,TOUGHKENAMON
05447,VT,EAST BERKSHIRE
32040,FL,GLEN SAINT MARY
66507,KS,MAPLE HILL
68445,NE,SWANTON
39336,MS,LAWRENCE
97522,OR,BUTTE FALLS
93238,CA,KERNVILLE
98338,WA,GRAHAM
92260,CA,PALM CITY
31206,GA,WILSON AIRPORT
56567,MN,NEW YORK MILLS
71457,LA,NATCHITOCHES
82001,WY,CHEYENNE
22454,VA,HOWERTONS
92101,CA,SAN DIEGO
74339,OK,COMMERCE
39426,MS,CARRIERE
43067,OH,RAYMOND
26818,WV,FISHER
61547,IL,MAPLETON
19031,PA,FLOURTOWN
44708,OH,CANTON
18431,PA,HONESDALE
79562,TX,TUSCOLA
57448,SD,HOSMER
12173,NY,STUYVESANT
24459,VA,MIDDLEBROOK
44441,OH,NEGLEY
14886,NY,TRUMANSBURG
32038,FL,FORT WHITE
27253,NC,GRAHAM
43014,OH,DANVILLE
24530,VA,CALLANDS
91744,CA,INDUSTRY
67330,KS,ALTAMONT
56670,MN,REDBY
96701,HI,AIEA
72376,AR,PROCTOR
85603,AZ,BISBEE
48101,MI,ALLEN PARK
45660,OH,PEEBLES
49007,MI,KALAMAZOO
13746,NY,CHENANGO FORKS
08722,NJ,BEACHWOOD
44822,OH,BUTLER
70458,LA,SLIDELL
51343,IA,GREENVILLE
33444,FL,DELRAY BEACH
53569,WI,MONTFORT
15203,PA,CARSON
70789,LA,WILSON
65648,MO,FAIR GROVE
33186,FL,MIAMI
50538,IA,FARNHAMVILLE
32139,FL,GEORGETOWN
17252,PA,SAINT THOMAS
65583,MO,SAINT ROBERT
04268,ME,NORWAY
68957,NE,LAWRENCE
42038,KY,EDDYVILLE
93263,CA,SHAFTER
66420,KS,DOVER
73537,OK,ELDORADO
33409,FL,HAVERHILL
15483,PA,STOCKDALE
05482,VT,SHELBURNE
55735,MN,FINLAYSON
68649,NE,NORTH BEND
71945,AR,HATFIELD
68364,NE,GOEHNER
80816,CO,FLORISSANT
61774,IL,STANFORD
03864,NH,OSSIPEE
38066,TN,ROSSVILLE
07095,NJ,WOODBRIDGE
70632,LA,CREOLE
36579,AL,STOCKTON
14418,NY,BRANCHPORT
99630,AK,MEKORYUK
93239,CA,KETTLEMAN CITY
68701,NE,NORFOLK
56525,MN,COMSTOCK
32648,FL,HORSESHOE BEACH
12943,NY,SAINT HUBERTS
56542,MN,FOSSTON
88002,NM,WHITE SANDS MISS
23222,VA,RICHMOND
98332,WA,GIG HARBOR
78011,TX,CHARLOTTE
66067,KS,OTTAWA
63339,MO,CURRYVILLE
67954,KS,ROLLA
22060,VA,FORT BELVOIR
51232,IA,ASHTON
07082,NJ,TOWACO
33322,FL,SUNRISE
27330,NC,COLON
04954,ME,NEW PORTLAND
24175,VA,TROUTVILLE
36483,AL,WING
43324,OH,HUNTSVILLE
27577,NC,SMITHFIELD
33605,FL,TAMPA
76092,TX,GRAPEVINE
76543,TX,HARKER HEIGHTS
26601,WV,HEROLD
85255,AZ,SCOTTSDALE
76266,TX,SANGER
48823,MI,EAST LANSING
95501,CA,EUREKA
65240,MO,CENTRALIA
16345,PA,RUSSELL
57221,SD,BRYANT
50130,IA,JEWELL
13827,NY,OWEGO
65330,MO,GILLIAM
99343,WA,MESA
01833,MA,GEORGETOWN
14810,NY,VETERANS ADMINIS
56219,MN,BROWNS VALLEY
04572,ME,WALDOBORO
91330,CA,CALIFORNIA STATE
98223,WA,ARLINGTON
42731,KY,DUBRE
16695,PA,WOODBURY
49925,MI,EWEN
54201,WI,ALGOMA
75450,TX,LAKE CREEK
27591,NC,WENDELL
